lon,lat ,data
117.008838,40.62575,119.17
116.014601,40.36784,119.34
117.291286,40.128426,117.84
116.351117,41.074484,118.36
117.68183,40.592935,119.15
116.437214,40.470589,116.24
116.428312,39.888187,120.27
116.749074,40.934173,118.95
117.554089,40.550129,118.42
117.000726,41.013397,118.1
116.401312,40.058257,120.12
116.126309,40.648899,119.54
116.783317,39.641494,117.9
116.82858,40.655336,118.05
116.564728,39.725827,121.16
116.731577,41.274134,120.86
116.665476,39.961451,120.3
116.826473,40.726249,117.93
116.754799,40.890212,117.78
117.443945,40.147527,119.95
117.685658,41.395824,120.94
117.224008,39.835338,119.34
116.802865,41.367009,118.8
117.580729,40.770515,119.4
115.39389,39.99686,120.14
115.634194,40.344822,121.08
115.949908,39.632942,120
117.002945,40.40823,120.74
115.43127,40.48797,120.64
115.57196,40.12915,120.45
118.2012,38.87253,121.42
116.11821,38.8427,119.5
117.28601,38.97787,119.95
117.66671,39.54231,120.71
116.91091,39.87345,120.8
117.38432,39.45334,120.33
117.7269,39.3074,121.52
116.757,38.3847,120.59
117.256,38.6986,121
116.8401,39.8766,120.03
117.7902,39.2006,119.65
117.672,39.5304,120.6
116.274,39.9801,120.57
116.3392,40.0358,121.06
117.793,39.4074,120.47
116.1086,38.8878,120.36
116.9842,39.4062,120.81
117.8166,38.5498,119.97
117.5569,38.9018,120.01
116.3538,39.2849,121.24
116.0705,38.6601,119.32
116.8554,38.361,121.14
117.0915,39.2023,120.47
117.5392,38.996,120.6
117.901,38.4852,120.05
117.1051,39.323,120.48
118.0517,40.1975,119.92
116.298374,39.101444,119.89
116.865723,39.259337,119.72
117.63935,38.71638,119.2
117.14955,39.68709,120.51
118.1953,39.68114,119.36
118.38589,40.19424,119.47
117.37013,39.94861,120.24
117.45586,39.95747,119.86
117.97387,40.33273,120.13
118.53406,39.62995,120.78
117.41141,39.51891,119.82
117.64479,40.38596,120.32
116.68971,40.36416,121
116.63198,39.87312,119.61
116.66888,39.91168,120.11
